movie_id,movie_title,movie_genre,movie_runtime,movie_year,date_release,cast_director,rating_personal,rating_IMDb,num_votes
tt0104714,Lethal Weapon 3, thriller,118,1992,1992-05-11,Richard Donner,5,6.7,129144
tt0290002,Meet the Fockers, romance,115,2004,2004-12-16,Jay Roach,6,6.3,212928
tt0277027,I Am Sam,drama,132,2001,2001-12-03,Jessie Nelson,6,7.6,122820
tt0486822,Disturbia, thriller,105,2007,2007-04-04,D.J. Caruso,5,6.9,188349
tt0083987,Gandhi, drama,191,1982,1982-11-30,Richard Attenborough,7,8.1,173720
tt0244244,Swordfish, thriller,99,2001,2001-06-04,Dominic Sena,6,6.5,156435
tt1013753,Milk, romance,128,2008,2008-10-28,Gus Van Sant,6,7.6,137764
tt0145681,The Bone Collector, thriller,118,1999,1999-08-29,Phillip Noyce,7,6.7,121404
tt1027718,Wall Street: Money Never Sleeps,drama,133,2010,2010-05-14,Oliver Stone,5,6.3,84732
tt0086465,Trading Places,comedy,116,1983,1983-06-08,John Landis,7,7.5,103782
tt0960144,You Don't Mess with the Zohan, comedy,113,2008,2008-06-06,Dennis Dugan,4,5.5,157490
tt0983193,The Adventures of Tintin, mystery,107,2011,2011-10-23,Steven Spielberg,7,7.4,178608
tt0413267,Shrek the Third, fantasy,93,2007,2007-05-06, Raman Hui,4,6.1,214131
tt0277296,The Scorpion King, thriller,92,2002,2002-04-15,Chuck Russell,6,5.5,103101
tt0963966,The Sorcerer's Apprentice, fantasy,109,2010,2010-07-06,Jon Turteltaub,2,6.1,125289
tt0097523,"Honey, I Shrunk the Kids", sci_fi,93,1989,1989-06-23,Joe Johnston,5,6.3,108264
tt0120912,Men in Black II, sci_fi,88,2002,2002-07-03,Barry Sonnenfeld,6,6.1,271838
tt0104431,Home Alone 2: Lost in New York, family,120,1992,1992-11-15,Chris Columbus,7,6.6,203005
tt0046912,Dial M for Murder, thriller,105,1954,1954-05-18,Alfred Hitchcock,7,8.2,108053
tt0212338,Meet the Parents,comedy,108,2000,2000-10-06,Jay Roach,6,7.0,262441
tt2076251,The Worst Week of My Life,comedy,93,2011,2011-10-28,Alessandro Genovesi,4,5.7,789
tt2550838,The Worst Christmas of My Life,comedy,86,2012,2012-11-22,Alessandro Genovesi,5,5.2,550
